,Profile,Campany,Skills,Exp,Location
51,"""3D LETTER BENDER FABRICATOR WORKERS"" , Fabricator , Welder     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)","Akeydeveloperofletterfabricationtechnology,CMechanic",2 - 3 yrs,₹Rs 4.50 - 6.00 Lacs p.a.
52,Mechanical Maintenance  / Quality Engineer     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Manufacturing,Mechanical,Engineering",5 - 10 yrs,₹Rs 3.00 - 8.00 Lacs p.a.
53,Senior Manager purchase     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",SeniorManagerpurchase,10 - 15 yrs,"Delhi/NCR,  Mumbai,  Pune,  Chandigarh,  Baddi"
54,"Member It Staff , Coustomer Engineer , System Administrator     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","BackOffice,officeexecutive,systemadministrator,technicalsupportengineer,Staffing,Resourcing,Recruitment,Management,MicrosoftTechnologies,WebTechnologies",0 - 1 yrs,"Gurgaon,  Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Noida/Greater Noida"
55,"""HIRING FOR ELECTRICIANS SIGNS FOR SAUDI""     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)","Installingandmaintainingelectricalsystems,Installing",2 - 3 yrs,₹Rs 4.50 - 6.00 Lacs p.a.
56,Electrical  &  Instrumentation     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",Electrical&Instrumentation,8 - 13 yrs,₹Rs 6.00 - 12.00 Lacs p.a.
57,AutoCAD-Mechanical     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",designer,5 - 10 yrs,₹Rs 4.00 - 8.00 Lacs p.a.
58,Electrical Engineer - BMS     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",ElectricalEngineer,2 - 5 yrs,₹Rs 1.80 - 3.00 Lacs p.a.
59,Sales Engineer     Jobs Plan Dot Com     (More Jobs),"Jobs Plan Dot Com
     (More Jobs)","Sales,printing,packaging,coding,scanner,barcode,printer,inkjet",2 - 7 yrs,₹Rs 3.00 - 6.00 Lacs p.a.
60,Planning Manager     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","PlanningManager,projectmanagement",10 - 15 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata,  Pune"
61,Academic Counselor Salary 15000 CTC Fixed Barrackpore     TALENT HUB JOBS     (More Jobs),"TALENT HUB JOBS
     (More Jobs)","counselling,careercounselling,educationcounselling,admissioncoordinator,admissioncounselling",1 - 4 yrs,₹Rs 1.00 - 2.05 Lacs p.a.
62,Chief Rig Electrician     Nicky Jobs     (More Jobs),"Nicky Jobs
     (More Jobs)",LandRig&OffshoreJack-up,5 - 10 yrs,₹Rs 3.00 - 6.00 Lacs p.a.
63,"""TAILORS""     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)","""SPECIALISTINMAKINGUNIFORMS"",""Sewingskills"",""Knowledgeoftailoringtechniques"",""Excellenthand-sewingandmachiningskills"",""goodeyesight""",2 - 5 yrs,₹Rs 7.00 - 8.00 Lacs p.a.
64,"""DIGITAL PRINTING MACHINES OPERATOR""     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)","""STICKER"",""BANNER"",""PRINTINGJOB"",AdobePhotoshop",3 - 5 yrs,₹Rs 4.00 - 5.00 Lacs p.a.
65,Sr. Executive MIS     Jobs Plan Dot Com     (More Jobs),"Jobs Plan Dot Com
     (More Jobs)","MIS,""InformationManagementsystem"",salesforce,""salesforceautomation"",hubspot,zendesk,salesflare,sfa",3 - 8 yrs,₹Rs 3.00 - 7.00 Lacs p.a.
66,"Desk Receptionist , Data Entry Operator , Business Analyst     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","Proofreading,Transcription,DataWarehousing,MicrosoftTechnologies,DataConversionServices,Database,Management",0 - 1 yrs,"Chandigarh,  Amritsar,  Ludhiana,  Patiala,  Other City(s) in Punjab"
67,"Key Account Manager , Consultant Manager     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","AfterSalesSupport,Telemarketing,Teaching,Lecturer,computerteacher,desktopsupport",0 - 1 yrs,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad,  Pune"
68,Sale Representative     Inflex jobs and consultancy private limited     (More Jobs),"Inflex jobs and consultancy private limited
     (More Jobs)","AfterSalesSupport,Telemarketing",0 - 1 yrs,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad,  Pune"
69,Crew for offshore Jackup     Nicky Jobs     (More Jobs),"Nicky Jobs
     (More Jobs)",Toolpusher/BargeEng/CraneOpt/ElectronicTechnicians/MaintenanceSupervisor/MaterialCoordinator/HSECoordinator/,5 - 10 yrs,Other Gulf/Middle East Location(s)
70,Utility Maintenance Engineer     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",UtilityMaintenanceEngineer,7 - 12 yrs,Delhi/NCR
71,"""3D LETTER BENDER FABRICATOR WORKERS""     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)",EasyTrimmer,2 - 4 yrs,₹Rs 4.50 - 6.00 Lacs p.a.
72,"""ELECTRICIANS SIGNS""     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)",Installingandmaintainingelectricalsystems,2 - 4 yrs,₹Rs 4.50 - 6.00 Lacs p.a.
73,Hiring Junior Lecturer -Immediate joiner     Mithra Jobs Pvt Ltd     (More Jobs),"Mithra Jobs Pvt Ltd
     (More Jobs)","LessonPlanning,OrganisationalSkills,ClassroomManagementLessonPlansInstructionalMaterials",0 - 2 yrs,₹Rs 2.50 - 2.70 Lacs p.a.
74,HSE Manager     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","ConstructionSafety,IndustrialSafety",8 - 13 yrs,"Delhi/NCR,  Kolkata,  Pune"
75,"""FOREMEN""     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)",Excellentleadershipskills,2 - 3 yrs,₹Rs 4.00 - 6.00 Lacs p.a.
76,"Research  &  Development , Research Associate , Assistant Manager     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","Marketing,researchassociate,assistantprofessor,Trainer,technicalconsultant",0 - 1 yrs,"Delhi,  Chandigarh,  Pondicherry/Puducherry,  Guntur,  Kakinada"
77,"Trainer , Computer Analyst II , Computer Operator , Computer Teacher     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","Proofreading,Transcribing,Transcription,Typing,EntryOperator,computeroperator,systemadministrator",0 - 1 yrs,"Allahabad,  Ghaziabad,  Gorakhpur,  Kanpur,  Lucknow"
78,"Front Office Executive , Computer Operator , Branch Office Assistant     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","Customer,Database,Administration,consultant,associateconsultant",0 - 1 yrs,"Chennai,  Coimbatore,  Madurai,  Tirunelveli,  Tuticorin"
79,Senior Manager Electrical     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","DG,HTPanels,UPS,Transformers,HT,Electricals,LTPanels",15 - 20 yrs,"Gurgaon,  Kolkata,  Raipur,  Bhopal,  Bhubaneshwar"
80,Project Manager – Civil     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","ProjectManagement,Leadership",10 - 15 yrs,"Delhi/NCR,  Kolkata,  Pune,  Kanpur,  Lucknow"
81,"Civil Engineers - Hydro ,  Metro  &  Road Projects     Sahyog Jobs Consultancy     (More Jobs)","Sahyog Jobs Consultancy
     (More Jobs)","CivilConstructionStructural,CivilBuildingWorks,CivilEngineering,CivilProject",5 - 10 yrs,"Delhi/NCR,  Kolkata,  Pune"
82,Toolpusher   &  Driller     Nicky Jobs     (More Jobs),"Nicky Jobs
     (More Jobs)",Onshore/OffshoreExperience,5 - 10 yrs,₹Rs 3.00 - 10.00 Lacs p.a.
83,"""Laundry Supervisor""     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)","""LaundrySupervisor"",""Monitorlaundrycost"",""STAFFTRAINIING"",""Routinemaintenanceoftheequipment."",""MAINTAININGSTANDARD"",""LaundryProcedures""",2 - 5 yrs,₹Rs 8.50 - 9.00 Lacs p.a.
84,Quality Engineer  /  Production Engineer     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","quality,,production,,Planning,Materials",6 - 8 yrs,₹Rs 5.00 - 8.00 Lacs p.a.
85,"""TEAM LEADER"" , Team Lead     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)",Communication,2 - 4 yrs,₹Rs 3.00 - 6.00 Lacs p.a.
86,"""ACCOUNTANT"" , Assistant Accountant     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)",Strongwrittenandoralcommunication,2 - 3 yrs,₹Rs 2.00 - 3.00 Lacs p.a.
