,Profile,Campany,Skills,Exp,Location
195,"Help Desk Support , System Engineer , Customer Support Engineer     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","dataentry,computeroperator,typing,Marketing,salesexecutive,tsm,tsmadmin,systemadmin",0 - 1 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Delhi/NCR"
196,Manager Admin  &  Operations     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",ManagerAdmin&Operations,15 - 20 yrs,₹Rs 6.00 - 12.00 Lacs p.a.
197,Senior Manager - Supply Chain     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","SeniorManager-SupplyChain,Management",10 - 15 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata,  Mumbai"
198,Deputy General Manager - Mechanical     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Installation,BreakdownMaintenance,PreventiveMaintenance,Crusher,MechanicalEngineering,Manufacturing,MechanicalMaintenance,Machinery,Operations,CementPlant",20 - 25 yrs,"Delhi/NCR,  Bhilai-Durg,  Raipur,  Bhopal,  Jaisalmer"
199,"Head HR , Human Resource     Sahyog Jobs Consultancy     (More Jobs)","Sahyog Jobs Consultancy
     (More Jobs)","HRBusinessPartnering,HumanResourcs,Hr,TalentManagement,CompensationandBenefitsManagement.",15 - 20 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata,  Mumbai"
200,Plant Head - Production  &  Operation     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",PlantHead-Production&Operation,15 - 20 yrs,₹Rs 15.00 - 20.00 Lacs p.a.
201,"Teacher , Part Time Faculty , Functional Consultant , Consultant     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","Management,Functional,System,Integration,Sanity,Performance",0 - 1 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Delhi/NCR,  Gurgaon,  Mumbai"
202,"Customer Account Executive , Team Leader , Customer Support Engineer     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","associatebasisconsultant,DataCentreOperation,ComputerProgramming",0 - 1 yrs,"Gurgaon,  Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Pune"
203,"FACTORY MANAGER , Factory Manager / Plant Head     Sahyog Jobs Consultancy     (More Jobs)","Sahyog Jobs Consultancy
     (More Jobs)","FACTORYMANAGER,FACTORYACTIVITIES",10 - 15 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Delhi/NCR,  Kolkata,  Mumbai"
204,Engineer- Production /  Quality /  Maintenance     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","EngineerMechanical,production,QualityAssurance,MaintenanceSteelPlant",12 - 17 yrs,"Delhi/NCR,  Bhopal,  Kanpur,  Dehradun"
205,Human Resource Manager     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",HumanResourceManager,10 - 15 yrs,"Gurgaon,  Hyderabad/Secunderabad,  Mumbai,  Noida/Greater Noida,  Pune"
206,"Tech Assistant , Associate Consultant Networks     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","TechnicalAssistance,technicalsupport,technicalsupportexecutive,associatebasisconsultant,Administration,customersupportengineer,serviceengineer",0 - 1 yrs,₹Rs 1.05 - 3.20 Lacs p.a.
207,Project Engineer     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",ProjectEngineer,5 - 10 yrs,₹Rs 5.80 - 10.20 Lacs p.a.
208,Executive Assistant /  Chief Of Staff  ( CEO's Office )      Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",ExecutiveAssistant/ChiefOfStaff(CEO'sOffice),10 - 15 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Hyderabad/Secunderabad,  Mumbai,  Pune"
209,Senior Manager  /  Manager - Projects     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Planning,Materials,projects",15 - 20 yrs,₹Rs 15.00 - 20.00 Lacs p.a.
210,Sr. Engineer  /  Assistant Manager Project Cost  &  Estimation     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","projectcosting,projectcontrolling,valueegineering,QuantitySurveying,costestimation,materialrate",10 - 15 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Pune,  Hissar,  Jabalpur"
211,Assistant Manager / Senior Engineer -Electrical Maintenance     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","AssistantManager/SeniorEngineer-ElectricalMaintenance,Maintenance,machines,ElectricalMachines,maintenanceactivities,EquipmentMaintenance",7 - 12 yrs,"Delhi/NCR,  Kolkata,  Pune,  Baddi,  Ajmer"
212,"Team Leader , Customer Support Engineer     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","Office-mgmt,Customer,Management",0 - 1 yrs,"Gurgaon,  Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Pune"
213,Hiring for Data Entry Executive     Inflex jobs and consultancy private limited     (More Jobs),"Inflex jobs and consultancy private limited
     (More Jobs)","40Wpm,GoodComputerknowledge,Hightypingskills,Excel,MsExcel",1 - 4 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad"
214,GM- Operations     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","GM-Operations,EBITDA,operations,centerhead",15 - 20 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Hyderabad/Secunderabad,  Mumbai,  Pune"
215,Senior Civil Engineer /  Deputy General Manager     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","SeniorCivilEngineer/DeputyGeneralManager,Engineering,Civil,Site",10 - 15 yrs,"Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Pune"
216,"Office Coordinator , Office Clerk , Data Entry Operator     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","typist,DataCentreOperation,BackOffice,computeroperator,systemadministrator",0 - 1 yrs,₹Rs 1.05 - 3.20 Lacs p.a.
217,Project Manager  ( MEP )      Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",ProjectManager,15 - 20 yrs,"Delhi/NCR,  Bhopal,  Jaipur,  Dehradun"
218,Plant Engineer     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",Production/QualityEngineer,5 - 10 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Pune,  Baddi,  Lucknow"
219,Project Manager - MEP- Electrical     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",MEP-Electrical,15 - 20 yrs,₹Rs 15.00 - 25.00 Lacs p.a.
220,"Assistant Manager Operations , ""Assistant Manager - Purchase""     Sahyog Jobs Consultancy     (More Jobs)","Sahyog Jobs Consultancy
     (More Jobs)","""AssistantManager-Purchase""",8 - 12 yrs,"Delhi/NCR,  Gurgaon,  Noida/Greater Noida,  Faridabad,  Hissar"
221,Senior Manager- Accounts     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",SeniorManager-Accounts,10 - 15 yrs,₹Rs 6.00 - 12.00 Lacs p.a.
222,"""CIVIL SITE ENGINEER"" , Engineer     Sahyog Jobs Consultancy     (More Jobs)","Sahyog Jobs Consultancy
     (More Jobs)","CivilSiteEngineer,Engineering",5 - 10 yrs,"Delhi/NCR,  Kolkata,  Chandigarh,  Mohali,  Haridwar"
223,Senior Executive  /  Assistant Manager- Purchase     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",SeniorExecutive/AssistantManager-Purchase,7 - 12 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Mumbai,  Chandigarh"
224,HDFC Bank hiring Classic on Phone Officer     TALENT HUB JOBS     (More Jobs),"TALENT HUB JOBS
     (More Jobs)","bpo,calling,domesticcalling,internationalcalling,telecalling,OutboundTelemarketing,telemarketing,telesales,telecaller",0 - 3 yrs,₹Rs 2.00 - 2.50 Lacs p.a.
225,Asst. Manager  /  Dy. Manager - Mechanical     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","ShiftlogbookandCo-ordinationwithotherdepartment,PlanningandExecutionofCapexProjectandModificationjobs",12 - 17 yrs,₹Rs 10.00 - 15.00 Lacs p.a.
226,Electrical Project Engineer  /  Sr. Engineer     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Manufacturing,Electrical,Industrial,Engineering,ProjectCoordination,ProjectCosting,VendorManagement",10 - 15 yrs,₹Rs 10.00 - 16.00 Lacs p.a.
227,"Project Management , Senior Engineer- Transmission     Sahyog Jobs Consultancy     (More Jobs)","Sahyog Jobs Consultancy
     (More Jobs)","ProjectManagement,SeniorEngineer-Transmission",7 - 12 yrs,"Bengaluru / Bangalore,  Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Ahmedabad"
228,"Production  /  Quality Engineer , Production Engineer     Sahyog Jobs Consultancy     (More Jobs)","Sahyog Jobs Consultancy
     (More Jobs)",Production/QualityEngineer,5 - 10 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Pune,  Baddi,  Lucknow"
229,Head - Production  ( Cement Plant )      Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",Head-Production(CementPlant),15 - 20 yrs,"Kolkata,  Bhopal,  Jaipur,  Lucknow"
230,BRANCH MANAGER - BANCA VERTICAL FOR LIFE INSURANCE COMPANY     Chennai Jobs     (More Jobs),"Chennai Jobs
     (More Jobs)","SALES,INSURANCE",5 - 10 yrs,₹Rs 8.00 - 9.00 Lacs p.a.
231,Assistant Manager Production  ( LT Panels )      Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Electricalengineering,Kaizen,SAP,AssistantManagerProduction,Switchgear,Productionplanning,Productiondepartment",10 - 15 yrs,Noida/Greater Noida
232,Electrical Project Head  /  AGM     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Manufacturing,Industrial,Engineering",15 - 20 yrs,₹Rs 15.00 - 25.00 Lacs p.a.
233,ASSISTANT MANAGER  - PURCHASE     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",ASSISTANTMANAGER-PURCHASE,10 - 15 yrs,"Ahmedabad,  Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata,  Pune"
234,Mechanical Engineer  ( Production )      Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","MechanicalEngineer(Production),Manufacturing,Engineering",10 - 15 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Delhi/NCR,  Hyderabad/Secunderabad,  Pune"
235,Mechanical Engineer Manufacturing     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Engineering,Manufacturing,Mechanical,Plant,Maintenance",8 - 12 yrs,"Delhi/NCR,  Gurgaon,  Noida/Greater Noida,  Sonepat,  Ghaziabad"
236,Export Documentation Executive     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",ExportDocumentationExecutive,7 - 10 yrs,"Delhi/NCR,  Mumbai,  Pune,  Chandigarh,  Lucknow"
237,"Receptionist , Computer Operator     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","Reception,dataentryoperator",0 - 1 yrs,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad,  Pune"
238,Asst Manager  /  Deputy Manager - MEP     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",AsstManager/DeputyManager-MEP,7 - 12 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Delhi/NCR,  Mumbai,  Pune"
239,Senior Engineer- Electrical  ( MEP )      Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",SeniorEngineer-Electrical(MEP),10 - 15 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata,  Pune"
240,Customer Relations Offcier     Inflex jobs and consultancy private limited     (More Jobs),"Inflex jobs and consultancy private limited
     (More Jobs)",associatebasisconsultant,0 - 1 yrs,"Gurgaon,  Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Pune"
241,"""WATER PUMP MECHANIC""     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)","HandTools,DOT,ElectricalSystems,HeavyEquipment",2 - 6 yrs,₹Rs 7.00 - 9.00 Lacs p.a.
242,"""Business Processes Consultant Job"" , Assistant Manager     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","HRAdministration,adminassistant,customerservice,customerserviceexecutive,technicalsupportrepresentative,technicalteamleader,teamleader",0 - 1 yrs,"Asansol,  Kharagpur,  Kolkata,  Midnapur,  Siliguri"
243,"Computer Operator Maintainace , Desktop Support Engineer     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","BackOfficeSupport,businessanalyst,businessassociate,businessdevelopmentmanager,assistantmanager,teamleader,customersupportengineer",0 - 1 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Delhi/NCR,  Gurgaon,  Mumbai"
244,Head - Projects     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","ProjectManagement,constructionmanagement",15 - 20 yrs,"Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Chandigarh"
245,Sr. Mechanical Project Engineer  /  Manager     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","ProjectCoordination,ProjectCosting,VendorManagement,projectmanager",12 - 17 yrs,₹Rs 12.00 - 20.00 Lacs p.a.
246,Accounts Officers     Aadis Jobs     (More Jobs),"Aadis Jobs
     (More Jobs)","Accountant,AccountsExecutive,AccountsAssistant,Tally,Accounting",1 - 5 yrs,₹Rs 1.50 - 2.80 Lacs p.a.
247,"Project Management , HVAC Project Engineer     Sahyog Jobs Consultancy     (More Jobs)","Sahyog Jobs Consultancy
     (More Jobs)",Sr.ManagerHVAC,10 - 15 yrs,"Gurgaon,  Kolkata,  Noida/Greater Noida,  Hissar,  Haridwar"
248,Senior Civil Engineer /  Project Manager Civil     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",SeniorCivilEngineer/ProjectManagerCivil,10 - 15 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Delhi/NCR,  Hyderabad/Secunderabad,  Pune"
249,General Manager – Projects     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",CivilProjectManagement,15 - 20 yrs,"Delhi/NCR,  Chandigarh,  Indore"
250,Store Manager   ( Steel Plant )      Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","RawMaterial,Stores,InventoryControl,InventoryPlanning,Dispatch,Packing,Invoice",5 - 10 yrs,₹Rs 4.00 - 8.00 Lacs p.a.
251,"SHOWROOM SALES EXECUTIVE , Sales Executive , Senior Sales Executive     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)",HSC/GRADUATE,2 - 3 yrs,₹Rs 4.00 - 6.00 Lacs p.a.
252,DGM / AGM Corporate Finance     Jobs Plan Dot Com     (More Jobs),"Jobs Plan Dot Com
     (More Jobs)","finance,""finalizationofaccounts"",""accountfinalization"",""financialmanagement"",sap,tax,audit,Compliance,sebi",7 - 12 yrs,₹Rs 10.00 - 25.00 Lacs p.a.
253,"Computer Assistant , Help Desk Support , Consultant , System Engineer     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","Customer,Office-mgmt,Functional",0 - 1 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Delhi/NCR,  Gurgaon,  Mumbai"
254,Plant Maintenance     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Sr.MechanicalMaintenanceEngineer,Engineering",7 - 12 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Mumbai,  Pune,  Baddi"
255,Construction projects Manager     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",ConstructionprojectsManager,10 - 15 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata"
256,Railway Grinder Operator for Riyadh-Saudi Arabia     Global Jobs     (More Jobs),"Global Jobs
     (More Jobs)","GrinderOperator,railgrinderfleet,SwitchRailGrindingMachine,metroGrinder",5 - 10 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Kolkata,  Mumbai,  Other City(s) in Saudi Arabia"
257,Senior Manager Supply Chain     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","SeniorManagerSupplyChain,Logistics,LogisticsManagement,SupplyChainManagement",10 - 15 yrs,₹Rs 8.00 - 12.00 Lacs p.a.
258,Manager - Logistic  ( Supply Chain Management )      Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",Manager-Logistic(SupplyChainManagement),8 - 12 yrs,"Delhi/NCR,  Pune,  Chandigarh,  Baddi,  Lucknow"
259,Project Manager - Construction     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",ProjectManager-Construction,10 - 15 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Delhi/NCR,  Kolkata,  Mohali"
260,Senior Manager - Procurement     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","SeniorManager-Procurement,Purchasing,PurchaseOrder",7 - 12 yrs,"Delhi/NCR,  Mumbai,  Pune,  Chandigarh"
261,Operations Executive / Manager     Aadis Jobs     (More Jobs),"Aadis Jobs
     (More Jobs)","computeroperations,management,backoffice,computeroperator",1 - 5 yrs,₹Rs 1.80 - 3.00 Lacs p.a.
262,Billing / Planning Engineer     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",CivilBuildingWorks,8 - 12 yrs,₹Rs 4.50 - 8.50 Lacs p.a.
263,Project Planning  &  Controls Head     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Vp,Head,ProjectCoordination,planning",15 - 20 yrs,₹Rs 12.00 - 18.00 Lacs p.a.
264,Deputy General Manager Projects - O & G Pipelines     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Planning,Materials,projects,Operations",12 - 17 yrs,₹Rs 10.00 - 16.00 Lacs p.a.
265,Project Engineer Electrical - Substation     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",ProjectEngineerElectrical-Substation,7 - 12 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Pune,  Chandigarh,  Haridwar"
266,Electrical Project Engineer     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","ElectricalProjectEngineer,Engineering",7 - 12 yrs,"Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Pune"
267,Deputy Manager HR / IR     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","DeputyManagerHR/IR,IR,compliance,Labourlaws",7 - 12 yrs,"Delhi/NCR,  Mumbai,  Pune,  Chandigarh,  Lucknow"
268,SENIOR MANAGER  /  AGM – PROJECTS – NOIDA     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",ConstructionCivilEngineering,15 - 20 yrs,₹Rs 12.00 - 18.00 Lacs p.a.
269,Unit Head - Sheet Metal Plant     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",UnIThead-SheetMetalPlant,10 - 15 yrs,"Gurgaon,  Kolkata,  Pune"
270,Property  /  Facility /  Estate Manager     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",Property/Facility/EstateManager,10 - 15 yrs,"Delhi,  Kolkata,  Pune"
271,Deputy General Manager - Contracts  &  Procurement     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",DeputyGeneralManager-Contracts&Procurement,10 - 15 yrs,"Gurgaon,  Kolkata,  Pune"
272,Operator     Inflex jobs and consultancy private limited     (More Jobs),"Inflex jobs and consultancy private limited
     (More Jobs)","Customer,Office-mgmt",0 - 1 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Delhi/NCR,  Gurgaon,  Mumbai"
273,Manufacturing Engineers - Electrical and Electronic     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","ManufacturingEngineers-ElectricalandElectronic,StatisticalProcess,ControlStatistical,DataAnalysis,ProductionDataAnalysis,ManufacturingEngineering",7 - 12 yrs,"Ahmedabad,  Delhi/NCR,  Gurgaon,  Pune,  Baddi"
274,DEPUTY MANAGER PLANNING     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","DEPUTYMANAGERPLANNING,ProjectPlanning&Scheduling,SitePlanningTeam,co-ordination,ProjectMonitoring",10 - 15 yrs,"Gurgaon,  Hyderabad/Secunderabad,  Kolkata,  Noida/Greater Noida,  Faridabad"
275,Purchase Manager     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",PurchaseManager,10 - 15 yrs,₹Rs 8.00 - 12.00 Lacs p.a.
276,Senior Manager Electrical     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Manufacturing,Electrical,Industrial,Plc",10 - 15 yrs,₹Rs 10.00 - 15.00 Lacs p.a.
277,"Technical  ( Computer Systems Analyst )  Lead , Technical Associate     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","ComputerOperator,BackOffice,FreelanceDataEntryoperator,TypeWriting,officeexecutive,DataEntry,dataentryoperator",0 - 3 yrs,"Gurgaon,  Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Noida/Greater Noida"
278,Manager / Sr. Manager- Purchase     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",Manager/Sr.Manager-Purchase,5 - 10 yrs,"Delhi/NCR,  Kolkata,  Pune"
279,Senior Engineer - Power Plant     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",SeniorEngineer-PowerPlant,8 - 12 yrs,₹Rs 6.00 - 12.00 Lacs p.a.
280,Senior Project Manager - Solar     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","projectmanager,seniorprojectmanager",10 - 15 yrs,₹Rs 8.00 - 14.00 Lacs p.a.
281,"Sales Account Executive , Sales Executive , Executive     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","dataentryoperator,computerassistant,computerteacher,technicalsupportengineer,systemadmin",0 - 2 yrs,"Delhi/NCR,  Karimnagar,  Other City(s) in Andhra Pradesh,  Other City(s) in Gujarat,  Other City(s) in Kerala"
282,Export Merchandiser     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",ExportMerchandiser,5 - 10 yrs,₹Rs 6.00 - 14.00 Lacs p.a.
283,AVP /  VP- Energy  ( Transmission  &  Distribution )      Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",transmission&distribution,20 - 25 yrs,₹Rs 20.00 - 30.00 Lacs p.a.
284,Senior Engineer  /  Manager     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",SeniorEngineer/Manager,10 - 15 yrs,₹Rs 8.00 - 18.00 Lacs p.a.
285,"Office Clerk , Assistant Accountatnt , Computer Operator     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","DataManagement,BusinessRequirements,Documentation",0 - 1 yrs,₹Rs 1.05 - 3.20 Lacs p.a.
286,Sr. Manager - Engineering  &  Construction     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",Engineering&Construction,10 - 15 yrs,"Delhi/NCR,  Kolkata,  Mumbai"
287,Manager - MEP     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","MEP,Electricals",12 - 17 yrs,"Delhi/NCR,  Kolkata,  Jaipur"
288,Manager-Planning  &  Monitoring  ( projects )      Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","projects,PlanningScheduling",10 - 15 yrs,₹Rs 10.00 - 18.00 Lacs p.a.
289,Manager- Production  &  Quality     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",Manager-Production&Quality,7 - 12 yrs,"Bengaluru / Bangalore,  Delhi/NCR,  Mumbai,  Pune,  Chandigarh"
290,Data Administrator II     Inflex jobs and consultancy private limited     (More Jobs),"Inflex jobs and consultancy private limited
     (More Jobs)","GoodComputerknowledge,Hightypingskills,Process,Management,MicrosoftTechnologies",1 - 4 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad"
291,Construction Manager  /  Quantity Surveyor  /  Site Engineer     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",ConstructionManager/QuantitySurveyor/SiteEngineer,10 - 15 yrs,"Delhi/NCR,  Kolkata"
292,Manager / Sr. Manager - Purchase / Procurement     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",Manager/Sr.Manager-Purchase/Procurement,5 - 10 yrs,₹Rs 6.00 - 12.00 Lacs p.a.
293,Hr Recuriter     Mithra Jobs Pvt Ltd     (More Jobs),"Mithra Jobs Pvt Ltd
     (More Jobs)","Non-ItRecuritment,Goodcommunicationskills,MicrosoftExcel,Interpersonalskill,Selfstarter",0 - 2 yrs,₹Rs 1.55 - 3.00 Lacs p.a.
294,"Desk Receptionist , Computer Operator , Data Entry Operator     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","ProjectManagementOffice,DataManagement,BusinessAnalysis,BusinessRequirements,Documentation",0 - 1 yrs,₹Rs 1.05 - 3.20 Lacs p.a.
295,Fabrication Engineer  /  Sr. Engineer     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","Machining,Milling,ToolRoom",6 - 11 yrs,₹Rs 5.00 - 9.00 Lacs p.a.
296,Electrical Design Engineer /  Sr. Engineer     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","ElectricalDesignEngineer/Sr.Engineer,Engineering",7 - 12 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad"
